race_id,race_date,course,distance,surface,condition,horse_no,horse_name,age,sex,weight,weight_diff,jockey,trainer,odds_win,popularity,finish_pos,time_sec,prize,surface_code,condition_code,sex_code,jockey_id,trainer_id,course_id,log_odds,odds_rank_pct,implied_prob,prob_norm,weight_abs_diff,weight_increase,weight_decrease,log_distance,is_sprint,is_mile,is_middle,is_long,jockey_te_place,trainer_te_place,course_te_place,label_win,label_place,payout_win
520,2018-01-03,中京,2500,芝,良,1,馬0520_01,5,牝,438,1,騎手24,調教師36,40.4,9,10,212.7,0,1,0,1,23,35,0,3.7232808808312687,0.8181818181818182,0.024752475247524754,0.019756630045843434,1,1,0,7.824046010856292,0,0,0,1,4.910074192474192,6.380467548324691,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,2,馬0520_02,6,騸,471,-6,騎手07,調教師29,44.7,10,9,212.2,0,1,0,2,6,28,0,3.822098297900159,0.9090909090909091,0.022371364653243846,0.017856104113021805,6,0,1,7.824046010856292,0,0,0,1,5.5243021081482615,7.354025355247849,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,3,馬0520_03,3,騸,484,0,騎手01,調教師41,6.7,4,1,209.7,3000,1,0,2,0,40,0,2.0412203288596382,0.36363636363636365,0.14925373134328357,0.11912953042568278,0,0,0,7.824046010856292,0,0,0,1,5.550227636541789,7.02486388400094,6.824395549805385,1,1,670.0
520,2018-01-03,中京,2500,芝,良,4,馬0520_04,6,牡,490,-6,騎手30,調教師34,5.0,3,4,211.1,450,1,0,0,29,33,0,1.791759469228055,0.2727272727272727,0.2,0.15963357077041496,6,0,1,7.824046010856292,0,0,0,1,5.931573328632152,6.303927481092836,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,5,馬0520_05,6,牡,486,9,騎手23,調教師12,3.5,1,2,210.5,1200,1,0,0,22,11,0,1.5040773967762742,0.09090909090909091,0.2857142857142857,0.2280479582434499,9,1,0,7.824046010856292,0,0,0,1,4.211550178216845,6.539322288679615,6.824395549805385,0,1,0.0
520,2018-01-03,中京,2500,芝,良,6,馬0520_06,7,牡,480,-6,騎手28,調教師42,999.9,11,11,213.1,0,1,0,0,27,41,0,6.908654874224973,1.0,0.001000100010001,0.0007982476786199367,6,0,1,7.824046010856292,0,0,0,1,9.83430660014895,7.2589329226608825,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,7,馬0520_07,7,牡,503,5,騎手17,調教師49,13.3,7,5,211.1,300,1,0,0,16,48,0,2.6602595372658615,0.6363636363636364,0.07518796992481203,0.06001262059038155,5,1,0,7.824046010856292,0,0,0,1,6.8172898904030985,6.549725847344895,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,8,馬0520_08,6,牝,475,1,騎手12,調教師39,26.9,8,6,211.2,0,1,0,1,11,38,0,3.32862668882732,0.7272727272727273,0.03717472118959108,0.029671667429445155,1,1,0,7.824046010856292,0,0,0,1,4.682673807673807,7.430467548324691,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,9,馬0520_09,4,牡,455,-2,騎手02,調教師11,9.6,5,8,211.9,0,1,0,0,1,10,0,2.3608540011180215,0.45454545454545453,0.10416666666666667,0.08314248477625778,2,0,1,7.824046010856292,0,0,0,1,7.423058270669474,7.060705026266251,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,10,馬0520_10,2,牡,500,-2,騎手08,調教師03,11.1,6,7,211.9,0,1,0,0,7,2,0,2.4932054526026954,0.5454545454545454,0.0900900900900901,0.07190701386054728,2,0,1,7.824046010856292,0,0,0,1,5.478621482521638,6.933323730942778,6.824395549805385,0,0,0.0
520,2018-01-03,中京,2500,芝,良,11,馬0520_11,6,牡,528,3,騎手06,調教師28,3.8,2,3,210.9,750,1,0,0,5,27,0,1.5686159179138452,0.18181818181818182,0.2631578947368421,0.21004417206633544,3,1,0,7.824046010856292,0,0,0,1,4.3184318285880785,6.567466918195073,6.824395549805385,0,1,0.0
1317,2018-01-04,東京,3200,ダート,良,1,馬1317_01,4,牡,450,-6,騎手20,調教師38,11.1,4,3,252.7,750,0,0,0,19,37,7,2.4932054526026954,0.4444444444444444,0.0900900900900901,0.07235356255915962,6,0,1,8.070906088787819,0,0,0,1,6.3835857125330815,7.1244909257409255,6.748691369940159,0,1,0.0
1317,2018-01-04,東京,3200,ダート,良,2,馬1317_02,7,牡,495,-10,騎手25,調教師15,6.6,3,4,253.3,450,0,0,0,24,14,7,2.028148247292285,0.3333333333333333,0.15151515151515152,0.12168553703131388,10,0,1,8.070906088787819,0,0,0,1,5.413644466315089,5.987214669032851,6.748691369940159,0,0,0.0
1317,2018-01-04,東京,3200,ダート,良,3,馬1317_03,3,牡,491,0,騎手28,調教師23,133.2,9,9,254.5,0,0,0,0,27,22,7,4.8993312245375815,1.0,0.007507507507507508,0.006029463546596635,0,0,0,8.070906088787819,0,0,0,1,9.806837278843501,6.083451323909339,6.748691369940159,0,0,0.0
1317,2018-01-04,東京,3200,ダート,良,4,馬1317_04,2,牡,464,-4,騎手26,調教師17,74.8,8,8,254.1,0,0,0,0,25,16,7,4.328098292648326,0.8888888888888888,0.013368983957219251,0.010736959149821812,4,0,1,8.070906088787819,0,0,0,1,8.894830000463804,6.87281364194293,6.748691369940159,0,0,0.0
